stage_index,head,gap_index,gap,survivor
10,31,58,2,349
10,31,59,4,353
10,31,60,6,359
10,31,61,8,367
10,31,62,6,373
10,31,63,6,379
10,31,64,4,383
10,31,65,6,389
10,31,66,8,397
10,31,67,4,401
10,31,68,8,409
10,31,69,10,419
10,31,70,2,421
10,31,71,10,431
10,31,72,2,433
10,31,73,6,439
10,31,74,4,443
10,31,75,6,449
10,31,76,8,457
10,31,77,4,461
10,31,78,2,463
10,31,79,4,467
10,31,80,12,479
10,31,81,8,487
10,31,82,4,491
10,31,83,8,499
10,31,84,4,503
10,31,85,6,509
10,31,86,12,521
10,31,87,2,523
10,31,88,18,541
10,31,89,6,547
10,31,90,10,557
10,31,91,6,563
10,31,92,6,569
10,31,93,2,571
10,31,94,6,577
10,31,95,10,587
10,31,96,6,593
10,31,97,6,599
10,31,98,2,601
10,31,99,6,607
11,37,0,4,41
11,37,1,2,43
11,37,2,4,47
11,37,3,6,53
11,37,4,6,59
11,37,5,2,61
11,37,6,6,67
11,37,7,4,71
11,37,8,2,73
11,37,9,6,79
11,37,10,4,83
11,37,11,6,89
11,37,12,8,97
11,37,13,4,101
11,37,14,2,103
11,37,15,4,107
11,37,16,2,109
11,37,17,4,113
11,37,18,14,127
11,37,19,4,131
11,37,20,6,137
11,37,21,2,139
11,37,22,10,149
11,37,23,2,151
11,37,24,6,157
11,37,25,6,163
11,37,26,4,167
11,37,27,6,173
11,37,28,6,179
11,37,29,2,181
11,37,30,10,191
11,37,31,2,193
11,37,32,4,197
11,37,33,2,199
11,37,34,12,211
11,37,35,12,223
11,37,36,4,227
11,37,37,2,229
11,37,38,4,233
11,37,39,6,239
11,37,40,2,241
11,37,41,10,251
11,37,42,6,257
11,37,43,6,263
11,37,44,6,269
11,37,45,2,271
11,37,46,6,277
11,37,47,4,281
11,37,48,2,283
11,37,49,10,293
11,37,50,14,307
11,37,51,4,311
11,37,52,2,313
11,37,53,4,317
11,37,54,14,331
11,37,55,6,337
11,37,56,10,347
11,37,57,2,349
11,37,58,4,353
11,37,59,6,359
11,37,60,8,367
11,37,61,6,373
11,37,62,6,379
11,37,63,4,383
11,37,64,6,389
11,37,65,8,397
11,37,66,4,401
11,37,67,8,409
11,37,68,10,419
11,37,69,2,421
11,37,70,10,431
11,37,71,2,433
11,37,72,6,439
11,37,73,4,443
11,37,74,6,449
11,37,75,8,457
11,37,76,4,461
11,37,77,2,463
11,37,78,4,467
11,37,79,12,479
11,37,80,8,487
11,37,81,4,491
11,37,82,8,499
11,37,83,4,503
11,37,84,6,509
