Q,prime_index,cumsum_c0_0,cumsum_c0_1,cumsum_c0_3,cumsum_c0_5,cumsum_c0_7,cumsum_c1_0
10559,1288,23.031929016742463,6.193341566513777,1.1195896665407818,0.4744719353748398,0.25775989576223374,0.11671384783391806
11677,1400,24.322868021546174,6.39373141088027,1.1244186756678713,0.4745883203191318,0.257762701144349,0.11671385833515932
12907,1535,25.84564221356652,6.625372502510666,1.129779336284934,0.4747123934453489,0.2577655732065581,0.11671386845268528
14281,1675,27.392109732090844,6.856003891137651,1.134909336886287,0.4748265168682477,0.2577681123692128,0.11671387688163563
15787,1840,29.175738539382618,7.116557483835544,1.1404699880530347,0.4749452063188958,0.2577706460766451,0.11671388478626424
17467,2007,30.943798719653138,7.369691235615223,1.145659205673933,0.47505159974722677,0.25777282774549126,0.1167138911941455
19319,2189,32.83213373749233,7.634762272660444,1.1508828427176951,0.4751545536116421,0.25777485716192255,0.11671389681204679
21377,2397,34.94621872711949,7.92554934628436,1.156384895466128,0.4752586734559816,0.2577768277749432,0.1167139019443674
23623,2627,37.23723682528184,8.234400803162172,1.1619984281604003,0.475360716158817,0.2577786829577766,0.11671390649324778
26141,2872,39.629139173194254,8.550396178877985,1.1675141474976791,0.47545700724492346,0.25778036420855605,0.1167139103731362
28901,3145,42.241513285374985,8.888553091717608,1.173180839211895,0.4755519805632438,0.2577819561766516,0.11671391382892614
31973,3429,44.90677509540976,9.22672740075275,1.1786256796542194,0.47563965786237383,0.2577833682155113,0.11671391671557313
35363,3766,48.009033817280816,9.61255534237031,1.1845942361566475,0.47573200086716544,0.25778479710196905,0.1167139194666256
39107,4116,51.16885841449586,9.997612227948549,1.1903128645916594,0.4758169416748225,0.2577860589248362,0.11671392175185152
43261,4514,54.693933244503,10.418574247323004,1.1963167995243358,0.4759025838408882,0.2577872807187634,0.11671392383429635
47843,4931,58.3180782092045,10.842714011529482,1.2021265870754365,0.4759821760786407,0.25778837125568144,0.11671392558376364
52919,5399,62.310554524579054,11.300692905806198,1.2081535018313774,0.4760614996821641,0.2577894154170273,0.11671392716109792
58537,5923,66.69826846813194,11.79391473251575,1.2143864606604995,0.47614027767943223,0.257790411222128,0.11671392857669159
64747,6472,71.21236297052953,12.29129942303908,1.2204256705881555,0.47621361528915807,0.25779130192384014,0.11671392976917129
71597,7090,76.20161140292461,12.830000329503891,1.2267065162437552,0.4762868553813364,0.2577921560853104,0.1167139308452394
79193,7761,81.52244063767635,13.393096751445578,1.2330136696783858,0.4763575102907911,0.2577929476922823,0.11671393178424848
87589,8504,87.3101139510837,13.993406136323848,1.2394726213403837,0.4764270140764538,0.257793695714303,0.11671393261962984
96893,9326,93.59979596516492,14.632654586794255,1.2460764398176243,0.47649524457150066,0.2577944007642392,0.11671393336041257
107171,10211,100.25353070017108,15.29538998715036,1.2526520111937067,0.47656049531044986,0.2577950483480483,0.11671393400084254
118529,11174,107.3690190064887,15.990000246658685,1.2592720067976877,0.47662359573283997,0.2577956498885706,0.11671393456088716
131101,12251,115.19136634632672,16.738447429935047,1.266124572512978,0.47668634430225204,0.25779622455127255,0.11671393506466182
145007,13422,123.55240179574815,17.522494763872377,1.27301982345627,0.4767469921900559,0.2577967580569981,0.11671393550494549
160367,14712,132.60831101356226,18.35476845186936,1.2800501902667918,0.47680638692454663,0.25779725990942376,0.11671393589482217
177379,16112,142.27159414185985,19.225039651060673,1.287109446014553,0.47686365631468847,0.25779772458040134,0.11671393623451909
196187,17674,152.87519480728315,20.16098670638471,1.2944021934463594,0.4769204879042727,0.25779816752271323,0.11671393653937398
217001,19363,164.15278638750573,21.136552752308308,1.3017031648867672,0.4769751344136047,0.2577985765968357,0.11671393680438853
240007,21221,176.35777784457662,22.171360423643875,1.3091427361267483,0.4770286271434654,0.257798961277346,0.11671393703903728
265471,23267,189.58054394303903,23.270061277548766,1.3167291769459926,0.4770810180331154,0.25779932313065135,0.11671393724679548
293617,25503,203.80030400717666,24.428069112230272,1.324409759148068,0.47713196703706445,0.2577996611457944,0.11671393742949918
324757,27982,219.31293883595478,25.66594456219106,1.3322929782581874,0.4771821768698588,0.25779998098558354,0.11671393759215044
359207,30701,236.0600960097397,26.975742783472846,1.3403056156355768,0.47723120055031687,0.257800280967913,0.11671393773577941
397297,33644,253.9022627784982,28.34320862615851,1.3483389928697003,0.47727840015586215,0.2578005583236294,0.1167139378607465
439441,36893,273.2944967352792,29.799861264536013,1.3565586956062503,0.47732478911590137,0.257800820160975,0.11671393797180844
486037,40446,294.176093764945,31.337213819319835,1.3648923791834262,0.4773699704688403,0.2578010651463528,0.11671393806964953
537587,44395,317.03060219766036,32.986248126679286,1.373478354853468,0.4774146808894451,0.25780129800211826,0.11671393815719133
594617,48694,341.5316442871581,34.71863140761039,1.3821401288815591,0.4774579949012192,0.25780151462716727,0.11671393823382804
657661,53393,367.9108877411214,36.54672794815786,1.390920585116012,0.47750017369975045,0.2578017172696457,0.11671393830132638
727427,58596,396.68242438377473,38.50074269162218,1.3999342527459129,0.4775417584513792,0.2578019091478103,0.11671393836148156
804571,64283,427.6637426227744,40.56280093941287,1.4090700597648442,0.4775822394738914,0.25780208854457504,0.11671393841441986
889891,70545,461.27629772328135,42.75540919387369,1.4184009757884901,0.477621953732499,0.25780225759940395,0.11671393846138338
984299,77365,497.3501534724283,45.06168588148756,1.4278284001391732,0.4776604956499418,0.2578024151906866,0.11671393850259698
1088657,84894,536.5963753672198,47.52067676107751,1.4374826666266591,0.4776984045018828,0.2578025640654072,0.11671393853924503
1204117,93221,579.3766997676321,50.147545785528344,1.447388048370218,0.47773576071406587,0.25780270496614677,0.1167139385718924
1331821,102276,625.2314482589769,52.906940816557,1.4573815319599692,0.4777719582053181,0.25780283609509497,0.11671393860049056
1473077,112261,675.0780800185834,55.84668966540537,1.4676074692586025,0.4778075340151455,0.25780295987930063,0.11671393862590282
1629317,123206,728.9479425956785,58.960371990360365,1.478010875911168,0.4778422985209319,0.2578030760658216,0.116713938648357
1802107,135217,787.2366238625037,62.26217488824372,1.4886065636340122,0.4778763053441828,0.2578031852254097,0.11671393866821282
1993231,148448,850.5550261055188,65.77742405937157,1.4994421501938444,0.47790971002887606,0.2578032882215501,0.1167139386858511
2204623,162982,919.1492089339694,69.50957361287307,1.5104917552703456,0.4779424285325687,0.25780338511603884,0.1167139387014721
2438453,178884,993.170374024502,73.45656919959922,1.521715355906556,0.47797434807048805,0.25780347590641356,0.1167139387152463
2697059,196439,1073.7726155742391,77.66863641543537,1.5332190094238278,0.4780057701678754,0.2578035617471523,0.11671393872750685
2983111,215678,1160.9126842428598,82.13149395894774,1.5449260566084833,0.4780364844597943,0.2578036423392474,0.11671393873834465
3299489,236876,1255.6347561856517,86.88573323255832,1.5569040680250519,0.4780666663948829,0.25780371840131144,0.11671393874796916
3649417,260031,1357.7217080127148,91.90740148243455,1.569056069316752,0.47809607717671154,0.25780378959218464,0.11671393875644802
4036489,285574,1468.8455679941471,97.26457729440219,1.5815080150551377,0.47812502376758487,0.25780385689240926,0.11671393876399082
4464569,313615,1589.229601746936,102.95226332010421,1.5942053735755548,0.4781533735842142,0.25780392019860976,0.11671393877068231
4938071,344450,1719.8771406731726,109.001660757512,1.6071765112786387,0.4781811901133908,0.25780397985908404,0.11671393877661364
