log10_Q,log10_lambda_fixed_w1,log10_lambda_fixed_w3,log10_lambda_fixed_w6,log10_lambda_fixed_w10,log10_lambda_constant_share,log10_lambda_frontier_c1
21.979933110367895,40.55138211045968,33.734413889907444,23.508961559079097,9.875025117974637,-8.234854714240202e+17,-3.4084841102761154
22.17391304347826,40.93171002939691,34.099477914277685,23.85112974159884,10.186665511360388,-1.2759095876069005e+18,-3.4161160575596137
22.367892976588628,41.312104423565266,34.46474136434129,24.19369677550533,10.498970657057384,-1.9770474739774917e+18,-3.4236815296119874
22.561872909698998,41.692564144941564,34.8302007960287,24.5366557726594,10.811929074833671,-3.063705093850675e+18,-3.4311816744564325
22.755852842809364,42.0730880749876,35.19585285372534,24.88000002183195,11.125529579307432,-4.747980467628602e+18,-3.43861761063113
22.949832775919734,42.45367512364909,35.56169426726834,25.22372298269721,11.439761269935701,-7.358722875591404e+18,-3.4459904281903766
23.1438127090301,42.83432422839662,35.92772184906946,25.567818280078704,11.754613521424375,-1.140583278627918e+19,-3.453301189663583
23.33779264214047,43.21503435330669,36.29393249135819,25.912279698435434,12.070075974538426,-1.7679991945841195e+19,-3.4605509309742515
23.531772575250837,43.59580448818076,36.66032316353893,26.257101176576185,12.38613852729253,-2.7407355324412957e+19,-3.4677406623209146
23.725752508361204,43.976633647700496,37.026890909656665,26.602276802590918,12.70279132650326,-4.248950875826033e+19,-3.474871369021915
23.919732441471574,44.35752087061736,37.39363284596578,26.94780080898841,13.02002475968525,-6.587571189185022e+19,-3.4819440123257897
24.11371237458194,44.73846521897495,37.76054615859711,27.29366756803033,13.337829447274629,-1.0214038621099749e+20,-3.488959530188925
24.30769230769231,45.11946577736256,38.127628101318436,27.639871587252255,13.65619623516401,-1.5837906503895964e+20,-3.4959188380220607
24.501672240802677,45.50052165219823,38.49487599338399,27.986407505162635,13.975116187534155,-2.4559850128261176e+20,-3.5028228294071195
24.695652173913043,45.881631971040306,38.86228721746875,28.333270087111416,14.294580579968297,-3.8087360072684936e+20,-3.5096723767857787
24.889632107023413,46.262795881925726,39.22985921768353,28.68045422132024,14.614580892835846,-5.906943640067947e+20,-3.516468332121098
25.08361204013378,46.64401255273409,39.59758949766716,29.027954915066754,14.93510880493288,-9.161596544696098e+20,-3.5232115275334674
25.27759197324415,47.02528117057624,39.96547561875212,29.375767291015947,15.256156187367715,-1.421037279851006e+21,-3.5299027759120585
25.471571906354516,47.40660094120613,40.333515198200324,29.723886583691613,15.577715097679999,-2.2042728768939885e+21,-3.536542871502903
25.665551839464886,47.78797108845511,40.70170590750578,30.072308136081798,15.89977777418315,-3.419404118215755e+21,-3.5431325904746624
25.859531772575252,48.1693908536874,41.07004547076121,30.421027396371915,16.22233663051952,-5.304693709742976e+21,-3.549672691463098
26.05351170568562,48.55085949527604,41.43853166308565,30.77003991480006,16.545384250419275,-8.229901432736409e+21,-3.5561639160951963
26.24749163879599,48.932376288098126,41.807162309110424,31.119341340628868,16.86891338265346,-1.2768886605820262e+22,-3.5626069894938515
26.441471571906355,49.31394052304874,42.1759352815208,31.468927419228887,17.192916936173006,-1.9812311505693263e+22,-3.5690026207639707
26.635451505016725,49.69555150657264,42.54484849965102,31.818793989268585,17.517387975425336,-3.0742603190818025e+22,-3.575351503460811
26.82943143812709,50.07720856021286,42.91389992813021,32.168936980006244,17.84231971584095,-4.77055784574815e+22,-3.5816543160413232
27.023411371237458,50.45891102017568,43.2830875755772,32.51935240867948,18.167705519482517,-7.403215582424302e+22,-3.5879117222992396
27.217391304347828,50.840658236911054,43.65240949334186,32.87003637798806,18.49353889084965,-1.1489311509999814e+23,-3.5941243717846003
27.411371237458194,51.22244957470801,44.02186377429124,33.2209850736661,18.81981347283257,-1.783157372585361e+23,-3.600292900208382
27.605351170568564,51.60428441130426,44.39144855163855,33.57219476213996,19.14652304280851,-2.7676240243031328e+23,-3.606417929832862
27.79933110367893,51.98616213750955,44.761161997812934,33.92366178826801,19.47366150887477,-4.2958188063012555e+23,-3.612500069848309
27.993311036789297,52.36808215684201,45.13100232336883,34.27538257315907,19.801222906212722,-6.668159272015181e+23,-3.6185399167365873
28.187290969899667,52.75004388517714,45.50096777593276,34.62735361206618,20.12920139357741,-1.0351107734866913e+24,-3.6245380546221924
28.381270903010034,53.132046750408804,45.871056639186286,34.979571472352504,20.457591249907452,-1.606897819325407e+24,-3.630495055611261
28.575250836120404,53.51409019212178,46.24126723188372,35.33203279152663,20.78638687105051,-2.4946520657593577e+24,-3.6364114801190297
28.76923076923077,53.89617366127533,46.6115979069029,35.684734275344255,21.115582766599402,-3.8730376322694166e+24,-3.6422878771862135
28.96321070234114,54.27829661989752,46.982047050328,36.03767269597372,21.445173556834675,-6.013304500639099e+24,-3.6481247847847604
29.157190635451506,54.66045854078961,47.35261308056282,36.390844890222624,21.775153969769036,-9.336716166397401e+24,-3.6539227301133974
29.351170568561873,55.042658907240366,47.72329444747362,36.74424775782349,22.10551883828998,-1.4497540805209653e+25,-3.6596822298833764
29.545150501672243,55.42489721274968,48.09408963156005,37.09787825977561,22.43626309739637,-2.2511969544631034e+25,-3.665403790594812
29.73913043478261,55.80717296076124,48.4649971431533,37.45173341674138,22.767381781525486,-3.4958385449035982e+25,-3.6710879088039734
29.93311036789298,56.18948566440407,48.836015521640284,37.80581030749461,23.098870021967045,-5.428848452289944e+25,-3.6767350713818914
30.127090301003346,56.57183484624208,49.20714333471287,38.160106067419036,23.430723044360597,-8.431062510387631e+25,-3.6823457557646093
